# latent_filename	original_filename	quality_rank
766d1edb2d879f41c75e91bf634a2056875d11a2f3eb2161569e69d28d091d1c_latent.pt	00004807.jpg	255
89b514e386bfd9e6fd6da6b2d40dd5e4766c4fe508d0df2295fea461dd6398ee_latent.pt	00004534.jpg	256
6c74d3850d67eb1496a4007b90f8530b638ed318e0862dd19393437888ea4128_latent.pt	00003983.jpg	257
0fd2b6be559f4d8de0752a54e141181ce6a43c0a31c06fd81d4674d5ac078e6d_latent.pt	00003653.jpg	258
ae2c09026a3461abf2ff8becadfab8661fb7623b2d240c7a9f4d2778bb7734b9_latent.pt	00001607.jpg	259
2253487b7bec7a166577a076b766e96f86339fbb14ccc08f4141f2dff4f50e73_latent.pt	00002406.jpg	260
43a1cb2eaf928944f837b17d68b599cf2e469c17c8c3237ceeb22be0ab87ace5_latent.pt	00003131.jpg	261
6a9a3e79f6270740a1b5b63ec37fc9e233f2fe4bd017f0758c45268c0efa2379_latent.pt	00000098.jpg	262
d5c9b366dff7e7ad3bd93e4c0f99afd64f9c8f6eeab9550034520f0d7c9d269f_latent.pt	00000519.jpg	263
299bb88e46de4be8c66820ad5be928b1aa3930d02b7923843d9f04ce5c47a56e_latent.pt	00001329.jpg	264
4d0eb13c38f1c76bf96ab67c447846a663a20f9957866245dea0e4092b47c818_latent.pt	00004790.jpg	265
3c6a08fcc582a78ca15e64362775343bf54585b155ebbb3510e6692a36bfb711_latent.pt	00000907.jpg	266
1ac8224a8a3bc0ddc0f6a6f004c91a5817e7abe9e434b8b3746a7a84bb7e2967_latent.pt	00004519.jpg	268
f69c4a5bb07c4dc98a3235081301e80d25823192970db556350425965ee9cdeb_latent.pt	00004525.jpg	269
16cdea08d02aa3ba126e4b890e0dacf7a3b700c205f2d7acc66f1b8dbf43a052_latent.pt	00001259.jpg	270
00a33c05ca16008266aa4e2cb5d6344bd2a70d47ad4f8180998816b9d5332dfd_latent.pt	00000034.jpg	272
5f53fb1154143dd293c053805777f32779024bd0cde329a94902867166b4e4c8_latent.pt	00000872.jpg	273
42444e0636001327fa488c1beb74b38c5ae2c5563a3209362b1e6016e7455e18_latent.pt	00002767.jpg	274
